model,support_stratum,n_variants,mae_empirical_posterior,mse_empirical_posterior,mae_observed_fraction,mse_observed_fraction,mean_beta_binomial_nll,spearman_observed_fraction,mean_prediction,mean_observed_fraction,cohort
empirical_prior,all,242,0.21087126857184213,0.05490288700011295,0.493344927521678,0.28218430318737997,1.7194309282054017,,0.3704179222682079,0.8224206421477972,original_242
empirical_prior,kish_ge_5,242,0.21087126857184213,0.05490288700011295,0.493344927521678,0.28218430318737997,1.7194309282054017,,0.3704179222682079,0.8224206421477972,original_242
empirical_prior,origin:literature_and_population,79,0.18829804616823695,0.05077404438545422,0.2619430108666697,0.08780834321028885,2.2091770383054485,,0.3704179222682077,0.5075954154937892,original_242
empirical_prior,origin:literature_only,163,0.22181166470610475,0.05690398250046901,0.6054967766980317,0.37639105679590873,1.4820693165618202,,0.3704179222682078,0.9750046477040343,original_242
intercept_only,all,242,0.10646214561636955,0.02399207072637263,0.36395255787753616,0.15412904493706645,1.3572317471979598,-0.5432244194017655,0.546794474500394,0.8224206421477972,original_242
intercept_only,kish_ge_5,242,0.10646214561636955,0.02399207072637263,0.36395255787753616,0.15412904493706645,1.3572317471979598,-0.5432244194017655,0.546794474500394,0.8224206421477972,original_242
intercept_only,origin:literature_and_population,79,0.18230002582608115,0.05283451946996776,0.2177455309078989,0.07100798633398249,2.1910667443922014,-0.9854760587384044,0.5471795123733214,0.5075954154937892,original_242
intercept_only,origin:literature_only,163,0.06970636318344184,0.010013215200335726,0.43481363229840336,0.1944147113765979,0.9531031289259039,-0.20906274488980955,0.546607861052779,0.9750046477040343,original_242
sequence_fit,all,242,0.10851254100047686,0.023740937658498086,0.36111228807765683,0.15223745855271564,1.3505723315968325,0.13609537796774218,0.5469939891882579,0.8224206421477972,original_242
sequence_fit,kish_ge_5,242,0.10851254100047686,0.023740937658498086,0.36111228807765683,0.15223745855271564,1.3505723315968325,0.13609537796774218,0.5469939891882579,0.8224206421477972,original_242
sequence_fit,origin:literature_and_population,79,0.17673267930321468,0.05003650222590721,0.21265361974819155,0.06765154601798508,2.16955353272794,0.30350949792900994,0.5438127830584023,0.5075954154937892,original_242
