probe_type,probe_label,polymer_b_angstrom,polymer_nu,sequence_separation,distance_angstrom,kernel,analysis_role,midpoint_or_half_distance_angstrom,weight,weight_at_zero,relative_to_zero_weight
polymer_probe,historical_baseline,3.8,0.5,9,11.399999999999999,normalized_sigmoid,positive_tail_sensitivity,2.0,0.0038072493585117307,1.0,0.0038072493585117307
polymer_probe,historical_baseline,3.8,0.5,9,11.399999999999999,normalized_sigmoid,primary,3.0,0.03029290214540444,1.0,0.03029290214540444
polymer_probe,historical_baseline,3.8,0.5,9,11.399999999999999,normalized_sigmoid,positive_tail_sensitivity,5.0,0.15103970359715846,1.0,0.15103970359715846
polymer_probe,historical_baseline,3.8,0.5,10,12.016655108639842,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
polymer_probe,historical_baseline,3.8,0.5,10,12.016655108639842,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0,0.9987474933020273,0.0
polymer_probe,historical_baseline,3.8,0.5,10,12.016655108639842,historical_sine_pi_cleanup,historical_reference_only,5.0,0.0,1.0,0.0
polymer_probe,historical_baseline,3.8,0.5,10,12.016655108639842,normalized_sigmoid,positive_tail_sensitivity,2.0,0.0027148091258277804,1.0,0.0027148091258277804
polymer_probe,historical_baseline,3.8,0.5,10,12.016655108639842,normalized_sigmoid,primary,3.0,0.02424373418231914,1.0,0.02424373418231914
polymer_probe,historical_baseline,3.8,0.5,10,12.016655108639842,normalized_sigmoid,positive_tail_sensitivity,5.0,0.13317516891816786,1.0,0.13317516891816786
polymer_probe,historical_baseline,3.8,0.5,20,16.994116628998402,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
polymer_probe,historical_baseline,3.8,0.5,20,16.994116628998402,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0,0.9987474933020273,0.0
polymer_probe,historical_baseline,3.8,0.5,20,16.994116628998402,historical_sine_pi_cleanup,historical_reference_only,5.0,0.0,1.0,0.0
polymer_probe,historical_baseline,3.8,0.5,20,16.994116628998402,normalized_sigmoid,positive_tail_sensitivity,2.0,0.00017654870343274348,1.0,0.00017654870343274348
polymer_probe,historical_baseline,3.8,0.5,20,16.994116628998402,normalized_sigmoid,primary,3.0,0.003957476757179016,1.0,0.003957476757179016
polymer_probe,historical_baseline,3.8,0.5,20,16.994116628998402,normalized_sigmoid,positive_tail_sensitivity,5.0,0.04667912867282275,1.0,0.04667912867282275
polymer_probe,historical_baseline,3.8,0.5,25,19.0,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
polymer_probe,historical_baseline,3.8,0.5,25,19.0,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0,0.9987474933020273,0.0
polymer_probe,historical_baseline,3.8,0.5,25,19.0,historical_sine_pi_cleanup,historical_reference_only,5.0,0.0,1.0,0.0
polymer_probe,historical_baseline,3.8,0.5,25,19.0,normalized_sigmoid,positive_tail_sensitivity,2.0,5.866314429696181e-05,1.0,5.866314429696181e-05
polymer_probe,historical_baseline,3.8,0.5,25,19.0,normalized_sigmoid,primary,3.0,0.001900418206189337,1.0,0.001900418206189337
polymer_probe,historical_baseline,3.8,0.5,25,19.0,normalized_sigmoid,positive_tail_sensitivity,5.0,0.03029290214540441,1.0,0.03029290214540441
