pmid,eligibility_reason,affected,unaffected,female_affected,female_unaffected
32806537,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
32846166,unresolved_source_sex_germline_or_breast_endpoint,19.0,0.0,0.0,0.0
32854451,unresolved_source_sex_germline_or_breast_endpoint,3.0,28.0,0.0,0.0
32866190,unresolved_source_sex_germline_or_breast_endpoint,11.0,0.0,0.0,0.0
32868316,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
32872764,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
32879886,unresolved_source_sex_germline_or_breast_endpoint,11.0,1.0,0.0,0.0
32884827,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
32885271,unresolved_source_sex_germline_or_breast_endpoint,159.0,0.0,0.0,0.0
32894085,unresolved_source_sex_germline_or_breast_endpoint,3.0,0.0,0.0,0.0
32903564,unresolved_source_sex_germline_or_breast_endpoint,1.0,1.0,0.0,0.0
32908788,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
32908793,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
32959997,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
32986223,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
32994724,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
33054725,unresolved_source_sex_germline_or_breast_endpoint,6.0,0.0,0.0,0.0
33113089,unresolved_source_sex_germline_or_breast_endpoint,10.0,0.0,0.0,0.0
33125943,unresolved_source_sex_germline_or_breast_endpoint,2.0,0.0,0.0,0.0
33127389,unresolved_source_sex_germline_or_breast_endpoint,6.0,0.0,0.0,0.0
33194720,unresolved_source_sex_germline_or_breast_endpoint,5.0,0.0,0.0,0.0
33240400,unresolved_source_sex_germline_or_breast_endpoint,3.0,0.0,0.0,0.0
33260805,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
33278427,female_Egypt_blood_breast_cases,31.0,0.0,31.0,0.0
33342804,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
33376347,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
33403015,unresolved_source_sex_germline_or_breast_endpoint,14.0,0.0,0.0,0.0
33407459,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
33421217,unresolved_source_sex_germline_or_breast_endpoint,6.0,0.0,0.0,0.0
33461583,unresolved_source_sex_germline_or_breast_endpoint,3.0,1.0,0.0,0.0
33466630,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
33476590,unresolved_source_sex_germline_or_breast_endpoint,4.0,2.0,0.0,0.0
33478551,unresolved_source_sex_germline_or_breast_endpoint,2.0,0.0,0.0,0.0
33484353,unresolved_source_sex_germline_or_breast_endpoint,4.0,2.0,0.0,0.0
33507482,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
33552952,unresolved_source_sex_germline_or_breast_endpoint,7.0,0.0,0.0,0.0
33556450,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
33558524,unresolved_source_sex_germline_or_breast_endpoint,20.0,0.0,0.0,0.0
33573335,unresolved_source_sex_germline_or_breast_endpoint,9.0,0.0,0.0,0.0
33599307,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
33619265,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
33643918,unresolved_source_sex_germline_or_breast_endpoint,7.0,0.0,0.0,0.0
33649982,unresolved_source_sex_germline_or_breast_endpoint,4.0,1.0,0.0,0.0
33672545,unresolved_source_sex_germline_or_breast_endpoint,50.0,0.0,0.0,0.0
33718101,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
33726785,unresolved_source_sex_germline_or_breast_endpoint,14.0,0.0,0.0,0.0
33763779,unresolved_source_sex_germline_or_breast_endpoint,8.0,0.0,0.0,0.0
