gene,metric,bin_left,bin_right,variants,pct
GCK,count_fraction,0.0,0.05,6,1.5345268542199488
GCK,count_fraction,0.05,0.1,2,0.5115089514066496
GCK,count_fraction,0.1,0.15000000000000002,0,0.0
GCK,count_fraction,0.15000000000000002,0.2,0,0.0
GCK,count_fraction,0.2,0.25,0,0.0
GCK,count_fraction,0.25,0.30000000000000004,7,1.7902813299232736
GCK,count_fraction,0.30000000000000004,0.35000000000000003,4,1.0230179028132993
GCK,count_fraction,0.35000000000000003,0.4,0,0.0
GCK,count_fraction,0.4,0.45,1,0.2557544757033248
GCK,count_fraction,0.45,0.5,0,0.0
GCK,count_fraction,0.5,0.55,18,4.603580562659847
GCK,count_fraction,0.55,0.6000000000000001,2,0.5115089514066496
GCK,count_fraction,0.6000000000000001,0.65,1,0.2557544757033248
GCK,count_fraction,0.65,0.7000000000000001,9,2.3017902813299234
GCK,count_fraction,0.7000000000000001,0.75,0,0.0
GCK,count_fraction,0.75,0.8,8,2.0460358056265986
GCK,count_fraction,0.8,0.8500000000000001,6,1.5345268542199488
GCK,count_fraction,0.8500000000000001,0.9,4,1.0230179028132993
GCK,count_fraction,0.9,0.9500000000000001,6,1.5345268542199488
GCK,count_fraction,0.9500000000000001,1.0,317,81.07416879795396
GCK,posterior_mean,0.0,0.05,2,0.5115089514066496
GCK,posterior_mean,0.05,0.1,4,1.0230179028132993
GCK,posterior_mean,0.1,0.15000000000000002,2,0.5115089514066496
GCK,posterior_mean,0.15000000000000002,0.2,7,1.7902813299232736
GCK,posterior_mean,0.2,0.25,9,2.3017902813299234
GCK,posterior_mean,0.25,0.30000000000000004,6,1.5345268542199488
GCK,posterior_mean,0.30000000000000004,0.35000000000000003,6,1.5345268542199488
GCK,posterior_mean,0.35000000000000003,0.4,5,1.278772378516624
GCK,posterior_mean,0.4,0.45,2,0.5115089514066496
GCK,posterior_mean,0.45,0.5,6,1.5345268542199488
GCK,posterior_mean,0.5,0.55,4,1.0230179028132993
GCK,posterior_mean,0.55,0.6000000000000001,4,1.0230179028132993
GCK,posterior_mean,0.6000000000000001,0.65,9,2.3017902813299234
GCK,posterior_mean,0.65,0.7000000000000001,7,1.7902813299232736
GCK,posterior_mean,0.7000000000000001,0.75,7,1.7902813299232736
GCK,posterior_mean,0.75,0.8,15,3.836317135549872
GCK,posterior_mean,0.8,0.8500000000000001,12,3.0690537084398977
GCK,posterior_mean,0.8500000000000001,0.9,41,10.485933503836318
GCK,posterior_mean,0.9,0.9500000000000001,158,40.40920716112532
GCK,posterior_mean,0.9500000000000001,1.0,85,21.73913043478261
LDLR,prior_mean,0.0,0.05,83,9.529276693455797
LDLR,prior_mean,0.05,0.1,22,2.5258323765786455
LDLR,prior_mean,0.1,0.15000000000000002,4,0.4592422502870264
LDLR,prior_mean,0.15000000000000002,0.2,11,1.2629161882893227
LDLR,prior_mean,0.2,0.25,7,0.8036739380022963
LDLR,prior_mean,0.25,0.30000000000000004,7,0.8036739380022963
LDLR,prior_mean,0.30000000000000004,0.35000000000000003,8,0.9184845005740528
