run_id,score_lane,gene,pmid,tp,fp,fn,phenotype_capture,phenotype_abs_error,phenotype_supplied_fields,phenotype_positive_supplied_fields,phenotype_wrong_supplied_fields,carriers_asserted,carriers_supplied,carriers_supplied_exact,carriers_wrong_supplied,carriers_abs_error,carriers_missing_positive_fields,carriers_missing_gold_zero_fields,carriers_overcount_units,carriers_supplied_undercount_units,carriers_identity_miss_error,carriers_abstained_error,carriers_supplied_error,affected_asserted,affected_supplied,affected_supplied_exact,affected_wrong_supplied,affected_abs_error,affected_missing_positive_fields,affected_missing_gold_zero_fields,affected_overcount_units,affected_supplied_undercount_units,affected_identity_miss_error,affected_abstained_error,affected_supplied_error,unaffected_asserted,unaffected_supplied,unaffected_supplied_exact,unaffected_wrong_supplied,unaffected_abs_error,unaffected_missing_positive_fields,unaffected_missing_gold_zero_fields,unaffected_overcount_units,unaffected_supplied_undercount_units,unaffected_identity_miss_error,unaffected_abstained_error,unaffected_supplied_error
20260903_protocol_cont120_01_candidate,paper-derived primary,SCN5A,20451667,1,0,2,all_na,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,SCN5A,20950709,1,0,0,partial,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,SCN5A,21498565,1,0,0,all_na,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,SCN5A,21677263,0,0,1,all_na,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,SCN5A,22129298,1,0,0,partial,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,SCN5A,23791817,1,0,0,all_na,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,SCN5A,23805106,9,0,0,all_na,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,SCN5A,24951663,1,3,0,all_na,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,SCN5A,25923670,1,0,0,all_na,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,SCN5A,26131924,2,1,0,all_na,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
